fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 09:25:35,regresion,bitcount,93.699,1.174457,1.174155,-0.0257,40.47,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 09:26:02,regresion,bsearch,12.111,1.167593,1.16961,0.1727,40.23,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 09:31:23,regresion,conv,306.634,1.165568,1.16878,0.2756,40.72,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 09:31:48,regresion,fixmul,11.745,1.164867,1.169049,0.359,40.6,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 09:32:33,regresion,md5,32.088,1.169026,1.170362,0.1142,40.6,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 09:32:54,regresion,primes,5.451,1.157364,1.157617,0.0219,40.6,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 09:33:12,regresion,sha256,5.292,1.169921,1.169903,-0.0015,40.6,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 09:44:33,regresion,bitcount,93.699,1.174248,1.171710,-0.2162,40.84,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 09:44:59,regresion,bsearch,12.111,1.169421,1.167641,-0.1522,40.96,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 09:50:20,regresion,conv,306.634,1.166823,1.165837,-0.0845,40.84,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 09:50:45,regresion,fixmul,11.745,1.165747,1.166345,0.0513,40.72,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 09:51:31,regresion,md5,32.088,1.170109,1.167658,-0.2095,40.96,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 09:51:49,regresion,primes,5.451,1.158786,1.154913,-0.3342,40.84,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 09:52:06,regresion,sha256,5.292,1.170955,1.167199,-0.3207,40.84,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 09:57:21,bucles,bitcount,93.699,1.173178,1.165714,-0.6363,40.60,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 09:57:52,bucles,bsearch,12.111,1.168516,1.163210,-0.4541,40.72,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 10:03:14,bucles,conv,306.634,1.166992,1.162792,-0.3599,41.21,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 10:03:39,bucles,fixmul,11.745,1.166185,1.159165,-0.6019,40.84,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 10:04:26,bucles,md5,32.088,1.170333,1.164513,-0.4973,40.84,203880020,0,0,0,0,16320004,21120001,0,320880028
